user_id,qualification,year,skills,skill_proficiency,subjects,certifications,interests,preferred_domain,past_projects
U001,Diploma,1,Firebase|React|PyTorch|SQL|Computer Vision|Azure|Django|Kubernetes,"{""Firebase"": 3, ""React"": 2, ""PyTorch"": 2, ""SQL"": 1, ""Computer Vision"": 5, ""Azure"": 1, ""Django"": 5, ""Kubernetes"": 4}",Algorithms|DBMS|Advanced Mathematics|Software Engineering|Machine Learning,Cert_4,Open Source,AI/ML,None
U002,B.Sc,4,Azure|R|Arduino,"{""Azure"": 2, ""R"": 4, ""Arduino"": 2}",Artificial Intelligence|DBMS|Machine Learning|Algorithms,Cert_9,Open Source|Programming|Hackathons|Product Development,Mobile App Dev,Project_6
U003,BCA,1,React Native|C++|PowerBI|HTML|Cryptography,"{""React Native"": 1, ""C++"": 2, ""PowerBI"": 1, ""HTML"": 3, ""Cryptography"": 2}",Advanced Mathematics|Algorithms|Artificial Intelligence|Cryptography,Cert_4,Hackathons|Programming|Research|Competitive Programming,Cloud Computing,None
U004,M.Tech,2,Java|Python|Docker|Swift,"{""Java"": 5, ""Python"": 3, ""Docker"": 3, ""Swift"": 3}",Cryptography|Software Engineering|Advanced Mathematics|Operating Systems,Cert_6,Research|Product Development|Hackathons|Open Source,IoT,None
U005,Diploma,1,JavaScript|Kotlin|SQL|Statistics|R|Linux|Java|NLP,"{""JavaScript"": 5, ""Kotlin"": 4, ""SQL"": 5, ""Statistics"": 5, ""R"": 4, ""Linux"": 4, ""Java"": 3, ""NLP"": 3}",Cryptography|Software Engineering|Advanced Mathematics,Cert_2,Competitive Programming|Open Source|Programming,AI/ML,Project_18
U006,Diploma,3,TensorFlow|React Native|Kotlin|Networking|React,"{""TensorFlow"": 4, ""React Native"": 3, ""Kotlin"": 5, ""Networking"": 2, ""React"": 5}",Machine Learning|Data Structures|Operating Systems|Artificial Intelligence,Cert_7,Hackathons|Research|Programming|Open Source,Cybersecurity,Project_3
U007,MCA,1,Azure|Firebase|Computer Vision|C++|TensorFlow|Node.js|Scikit-Learn,"{""Azure"": 3, ""Firebase"": 3, ""Computer Vision"": 5, ""C++"": 4, ""TensorFlow"": 1, ""Node.js"": 2, ""Scikit-Learn"": 2}",Advanced Mathematics|Algorithms|Machine Learning,Cert_1,Open Source|Product Development|Programming|Research,Cloud Computing,None
U008,Diploma,3,PowerBI|Azure|SQL|PyTorch|CSS|React Native,"{""PowerBI"": 5, ""Azure"": 3, ""SQL"": 5, ""PyTorch"": 3, ""CSS"": 2, ""React Native"": 2}",Algorithms|Software Engineering|Machine Learning|Data Structures|Data Science,Cert_9,Programming|Competitive Programming|Hackathons,Web Development,None
U009,B.Sc,2,Computer Vision|Dart|Cryptography|React|HTML|Scikit-Learn|Python|PyTorch,"{""Computer Vision"": 5, ""Dart"": 4, ""Cryptography"": 1, ""React"": 1, ""HTML"": 5, ""Scikit-Learn"": 1, ""Python"": 3, ""PyTorch"": 3}",Data Structures|Advanced Mathematics|Artificial Intelligence|Cryptography,Cert_7,Research,Web Development,None
U010,MCA,1,Swift|HTML|Kubernetes|Node.js,"{""Swift"": 3, ""HTML"": 1, ""Kubernetes"": 5, ""Node.js"": 3}",Advanced Mathematics|Algorithms|Operating Systems|Cryptography,Cert_5,Programming|Research|Product Development,Data Science,None
U011,B.Tech,1,Python|Flutter|GCP|Django,"{""Python"": 1, ""Flutter"": 5, ""GCP"": 4, ""Django"": 2}",Data Science|Software Engineering,Cert_1,Programming|Product Development,Mobile App Dev,None
U012,B.Tech,3,Pandas|GCP|Arduino|Statistics|Kubernetes|Express,"{""Pandas"": 3, ""GCP"": 1, ""Arduino"": 3, ""Statistics"": 1, ""Kubernetes"": 5, ""Express"": 1}",Data Science|Operating Systems|Software Engineering|Artificial Intelligence,Cert_8,Competitive Programming|Open Source|Programming,Web Development,Project_6
U013,M.E,1,Bash|Node.js|Scikit-Learn|NLP|Django|Networking|Java,"{""Bash"": 4, ""Node.js"": 4, ""Scikit-Learn"": 3, ""NLP"": 1, ""Django"": 3, ""Networking"": 3, ""Java"": 1}",Algorithms|Software Engineering,Cert_3,Competitive Programming|Programming|Research|Product Development,Data Science,Project_15
U014,M.Sc,3,Java|Statistics|React|Flutter|CSS|MongoDB|Ethical Hacking|NLP,"{""Java"": 2, ""Statistics"": 3, ""React"": 4, ""Flutter"": 4, ""CSS"": 2, ""MongoDB"": 5, ""Ethical Hacking"": 5, ""NLP"": 1}",Software Engineering|DBMS|Data Science,Cert_5,Open Source,Mobile App Dev,None
U015,Diploma,3,Firebase|R|Dart|Linux|Express|NLP,"{""Firebase"": 1, ""R"": 4, ""Dart"": 5, ""Linux"": 5, ""Express"": 2, ""NLP"": 2}",Artificial Intelligence|Operating Systems|Data Science,Cert_8,Research|Product Development,Cybersecurity,None
U016,M.Tech,4,SQL|Docker|Node.js|NumPy|Networking,"{""SQL"": 3, ""Docker"": 4, ""Node.js"": 2, ""NumPy"": 5, ""Networking"": 1}",Data Structures|Cryptography|Artificial Intelligence|DBMS,Cert_5,Competitive Programming|Product Development|Programming|Hackathons,Cloud Computing,Project_17
U017,B.E,3,Tableau|TensorFlow|GCP|Firebase|SQL|Scikit-Learn|Dart|Raspberry Pi,"{""Tableau"": 2, ""TensorFlow"": 4, ""GCP"": 1, ""Firebase"": 4, ""SQL"": 4, ""Scikit-Learn"": 2, ""Dart"": 2, ""Raspberry Pi"": 5}",Computer Networks|Data Science|Operating Systems|Advanced Mathematics,Cert_3,Competitive Programming|Product Development|Research,Cybersecurity,Project_17
U018,M.Sc,3,Python|Docker|Statistics|MongoDB|AWS,"{""Python"": 4, ""Docker"": 1, ""Statistics"": 2, ""MongoDB"": 5, ""AWS"": 5}",Advanced Mathematics|Data Science|Artificial Intelligence|DBMS|Data Structures,Cert_8,Open Source|Hackathons|Research|Competitive Programming,IoT,Project_17
U019,B.Sc,2,JavaScript|Statistics|PowerBI|Dart|Swift|Computer Vision,"{""JavaScript"": 2, ""Statistics"": 4, ""PowerBI"": 3, ""Dart"": 2, ""Swift"": 1, ""Computer Vision"": 1}",Operating Systems|Artificial Intelligence|Algorithms|Data Science|Computer Networks,Cert_7,Research|Open Source|Hackathons|Competitive Programming,IoT,Project_9
U020,MCA,3,Pandas|PowerBI|Python,"{""Pandas"": 4, ""PowerBI"": 1, ""Python"": 3}",Data Science|Cryptography|DBMS,Cert_6,Research|Hackathons|Open Source,AI/ML,Project_10
U021,Diploma,4,AWS|Python|Tableau|Raspberry Pi|Wireshark|Terraform|Cryptography|Computer Vision,"{""AWS"": 1, ""Python"": 2, ""Tableau"": 2, ""Raspberry Pi"": 3, ""Wireshark"": 5, ""Terraform"": 2, ""Cryptography"": 1, ""Computer Vision"": 4}",Cryptography|DBMS|Software Engineering|Computer Networks|Operating Systems,Cert_10,Competitive Programming,Cybersecurity,Project_13
U022,M.E,2,Django|React Native|Kubernetes|Dart,"{""Django"": 1, ""React Native"": 2, ""Kubernetes"": 2, ""Dart"": 2}",Advanced Mathematics|Machine Learning|Computer Networks|Algorithms,Cert_4,Product Development|Open Source,Web Development,None
U023,MCA,2,MQTT|Docker|Machine Learning|HTML,"{""MQTT"": 2, ""Docker"": 5, ""Machine Learning"": 4, ""HTML"": 1}",Artificial Intelligence|Data Science|Data Structures,Cert_7,Competitive Programming|Product Development,Data Science,None
U024,B.Tech,4,CSS|Kubernetes|Python|Computer Vision|TensorFlow|PowerBI|NumPy|Azure,"{""CSS"": 5, ""Kubernetes"": 4, ""Python"": 5, ""Computer Vision"": 5, ""TensorFlow"": 1, ""PowerBI"": 4, ""NumPy"": 5, ""Azure"": 5}",Machine Learning|Operating Systems|DBMS|Data Science|Software Engineering,Cert_6,Hackathons|Competitive Programming,Web Development,Project_17
U025,B.E,3,HTML|GCP|React Native,"{""HTML"": 5, ""GCP"": 2, ""React Native"": 1}",Cryptography|Artificial Intelligence|Machine Learning|DBMS|Data Structures,Cert_3,Hackathons,Cybersecurity,Project_13
U026,BCA,4,Kotlin|TensorFlow|NLP|Swift|Bash|Computer Vision|Kubernetes,"{""Kotlin"": 1, ""TensorFlow"": 4, ""NLP"": 2, ""Swift"": 2, ""Bash"": 4, ""Computer Vision"": 4, ""Kubernetes"": 5}",Data Structures|Cryptography,Cert_6,Open Source,Cloud Computing,Project_19
U027,M.Sc,2,Docker|Cryptography|CSS|PowerBI|JavaScript|React|Bash|PyTorch,"{""Docker"": 2, ""Cryptography"": 2, ""CSS"": 4, ""PowerBI"": 4, ""JavaScript"": 3, ""React"": 3, ""Bash"": 3, ""PyTorch"": 1}",Machine Learning|Advanced Mathematics|Operating Systems|Software Engineering,Cert_8,Research|Hackathons|Open Source|Competitive Programming,Data Science,None
U028,Diploma,2,Statistics|Machine Learning|Express|Pandas|PyTorch|JavaScript|MongoDB,"{""Statistics"": 2, ""Machine Learning"": 1, ""Express"": 1, ""Pandas"": 3, ""PyTorch"": 5, ""JavaScript"": 1, ""MongoDB"": 2}",Artificial Intelligence|Operating Systems,Cert_2,Competitive Programming|Programming,Mobile App Dev,Project_17
U029,Diploma,4,React|Pandas|Docker|SQL|NLP|Flutter|GCP|Tableau,"{""React"": 1, ""Pandas"": 5, ""Docker"": 3, ""SQL"": 4, ""NLP"": 5, ""Flutter"": 2, ""GCP"": 2, ""Tableau"": 3}",Data Science|Operating Systems|Cryptography,Cert_10,Open Source,AI/ML,None
U030,Diploma,3,TensorFlow|SQL|Tableau|Linux,"{""TensorFlow"": 3, ""SQL"": 2, ""Tableau"": 1, ""Linux"": 5}",DBMS|Data Structures|Computer Networks|Software Engineering,Cert_2,Hackathons,AI/ML,Project_18
U031,B.Tech,2,Statistics|Node.js|Arduino|Azure|TensorFlow|PyTorch|Flutter|Terraform,"{""Statistics"": 1, ""Node.js"": 4, ""Arduino"": 4, ""Azure"": 1, ""TensorFlow"": 5, ""PyTorch"": 1, ""Flutter"": 2, ""Terraform"": 2}",Data Structures|Data Science,Cert_6,Open Source|Research,Cloud Computing,None
U032,M.E,2,Computer Vision|Networking|Flutter|React,"{""Computer Vision"": 1, ""Networking"": 5, ""Flutter"": 3, ""React"": 1}",Operating Systems|Cryptography|Machine Learning,Cert_8,Programming|Open Source|Product Development|Hackathons,Mobile App Dev,None
U033,M.Sc,1,Wireshark|Express|Raspberry Pi|PowerBI|React|HTML|Machine Learning|Ethical Hacking,"{""Wireshark"": 1, ""Express"": 3, ""Raspberry Pi"": 2, ""PowerBI"": 2, ""React"": 1, ""HTML"": 4, ""Machine Learning"": 1, ""Ethical Hacking"": 5}",Operating Systems|Software Engineering|Data Structures,Cert_8,Open Source|Product Development,Data Science,None
U034,M.Tech,4,Django|Kotlin|Computer Vision|Express|Machine Learning|React|R,"{""Django"": 2, ""Kotlin"": 1, ""Computer Vision"": 4, ""Express"": 5, ""Machine Learning"": 5, ""React"": 4, ""R"": 5}",Software Engineering|Data Science|Cryptography|Artificial Intelligence,Cert_5,Hackathons,IoT,Project_9
U035,M.E,4,HTML|Swift|Linux|Docker,"{""HTML"": 1, ""Swift"": 2, ""Linux"": 4, ""Docker"": 5}",Operating Systems|Advanced Mathematics,Cert_3,Product Development|Programming|Open Source,IoT,Project_9
U036,Diploma,3,PowerBI|React Native|JavaScript|Flutter|Kubernetes|C++|Dart,"{""PowerBI"": 5, ""React Native"": 5, ""JavaScript"": 4, ""Flutter"": 2, ""Kubernetes"": 2, ""C++"": 3, ""Dart"": 2}",Computer Networks|Advanced Mathematics|Data Science|Operating Systems|Data Structures,Cert_8,Programming|Hackathons|Product Development,Cloud Computing,None
U037,M.E,2,PyTorch|Docker|Python|NumPy|HTML|Raspberry Pi|Dart|Firebase,"{""PyTorch"": 2, ""Docker"": 3, ""Python"": 4, ""NumPy"": 2, ""HTML"": 1, ""Raspberry Pi"": 4, ""Dart"": 4, ""Firebase"": 5}",Artificial Intelligence|Computer Networks|DBMS|Data Structures|Algorithms,Cert_1,Open Source,Cloud Computing,Project_5
U038,B.Tech,3,Raspberry Pi|Linux|MQTT|TensorFlow|React|Docker|Pandas,"{""Raspberry Pi"": 1, ""Linux"": 4, ""MQTT"": 5, ""TensorFlow"": 1, ""React"": 3, ""Docker"": 3, ""Pandas"": 3}",Data Structures|Artificial Intelligence|Operating Systems,Cert_9,Open Source|Competitive Programming|Research|Product Development,Mobile App Dev,Project_17
U039,M.Sc,4,GCP|Bash|Node.js|JavaScript,"{""GCP"": 4, ""Bash"": 3, ""Node.js"": 2, ""JavaScript"": 3}",Computer Networks|Cryptography|Software Engineering,Cert_10,Product Development|Competitive Programming|Hackathons|Programming,IoT,Project_6
U040,BCA,1,Cryptography|NLP|React Native|Arduino|R,"{""Cryptography"": 3, ""NLP"": 2, ""React Native"": 5, ""Arduino"": 2, ""R"": 1}",Data Structures|Data Science|Operating Systems,Cert_5,Competitive Programming|Product Development,Mobile App Dev,Project_5
U041,Diploma,3,Raspberry Pi|Wireshark|Arduino|NLP,"{""Raspberry Pi"": 3, ""Wireshark"": 4, ""Arduino"": 1, ""NLP"": 5}",Algorithms|Operating Systems|Artificial Intelligence|Cryptography,Cert_3,Competitive Programming,AI/ML,None
U042,M.Sc,3,Swift|AWS|NLP|Django,"{""Swift"": 4, ""AWS"": 5, ""NLP"": 1, ""Django"": 2}",Data Structures|Machine Learning,Cert_4,Product Development|Programming,IoT,None
U043,B.Tech,4,AWS|Networking|Ethical Hacking|Computer Vision|Firebase|Kotlin|Python|Azure,"{""AWS"": 4, ""Networking"": 4, ""Ethical Hacking"": 2, ""Computer Vision"": 5, ""Firebase"": 3, ""Kotlin"": 5, ""Python"": 4, ""Azure"": 1}",Machine Learning|Algorithms|Data Science|Operating Systems,Cert_3,Open Source,Mobile App Dev,Project_9
U044,BCA,3,R|GCP|Statistics,"{""R"": 2, ""GCP"": 4, ""Statistics"": 1}",Artificial Intelligence|Cryptography|Algorithms,Cert_10,Competitive Programming,IoT,Project_4
U045,BCA,4,Terraform|JavaScript|NumPy|Scikit-Learn|Express,"{""Terraform"": 1, ""JavaScript"": 5, ""NumPy"": 4, ""Scikit-Learn"": 1, ""Express"": 4}",Artificial Intelligence|Data Structures|Software Engineering|Cryptography|Machine Learning,Cert_9,Product Development|Open Source|Programming,Data Science,Project_3
U046,Diploma,4,PyTorch|Kotlin|Terraform|Networking|AWS|Swift,"{""PyTorch"": 4, ""Kotlin"": 2, ""Terraform"": 4, ""Networking"": 3, ""AWS"": 3, ""Swift"": 4}",Data Science|DBMS|Advanced Mathematics,Cert_2,Competitive Programming,Web Development,Project_7
U047,B.Sc,1,SQL|Wireshark|Kubernetes|Express|Java|Docker|Terraform|Scikit-Learn,"{""SQL"": 1, ""Wireshark"": 3, ""Kubernetes"": 4, ""Express"": 5, ""Java"": 5, ""Docker"": 5, ""Terraform"": 1, ""Scikit-Learn"": 4}",Advanced Mathematics|Algorithms,Cert_7,Research|Product Development|Programming|Competitive Programming,Cloud Computing,None
U048,B.E,2,Raspberry Pi|Flutter|React Native|Ethical Hacking,"{""Raspberry Pi"": 1, ""Flutter"": 3, ""React Native"": 5, ""Ethical Hacking"": 5}",Cryptography|Data Structures|Computer Networks|Machine Learning,Cert_4,Research|Open Source|Programming|Hackathons,Mobile App Dev,None
U049,B.Sc,3,CSS|HTML|Computer Vision|Python|MQTT|SQL|React|AWS,"{""CSS"": 1, ""HTML"": 4, ""Computer Vision"": 1, ""Python"": 5, ""MQTT"": 5, ""SQL"": 1, ""React"": 3, ""AWS"": 1}",Data Science|DBMS,Cert_10,Open Source|Programming,Web Development,Project_14
U050,M.E,4,TensorFlow|Django|Dart|Java|Scikit-Learn|React|MongoDB|Tableau,"{""TensorFlow"": 1, ""Django"": 4, ""Dart"": 3, ""Java"": 3, ""Scikit-Learn"": 1, ""React"": 4, ""MongoDB"": 4, ""Tableau"": 4}",Algorithms|Operating Systems|Data Structures,Cert_10,Open Source|Research|Competitive Programming,Web Development,None
U051,M.E,4,Dart|Swift|C++|Docker|Bash|AWS|MQTT,"{""Dart"": 3, ""Swift"": 2, ""C++"": 4, ""Docker"": 3, ""Bash"": 4, ""AWS"": 4, ""MQTT"": 5}",Cryptography|Computer Networks,Cert_4,Product Development|Hackathons|Competitive Programming,Web Development,Project_13
U052,M.Sc,1,Wireshark|Dart|Statistics|Raspberry Pi|PyTorch,"{""Wireshark"": 5, ""Dart"": 1, ""Statistics"": 3, ""Raspberry Pi"": 3, ""PyTorch"": 3}",Machine Learning|Cryptography,Cert_9,Product Development|Competitive Programming|Open Source,IoT,Project_7
U053,B.E,1,Ethical Hacking|Scikit-Learn|Pandas|Flutter|PowerBI|Dart|C++|Bash,"{""Ethical Hacking"": 1, ""Scikit-Learn"": 5, ""Pandas"": 2, ""Flutter"": 5, ""PowerBI"": 1, ""Dart"": 1, ""C++"": 3, ""Bash"": 1}",Data Science|DBMS,Cert_6,Open Source|Research|Product Development|Competitive Programming,Data Science,None
U054,BCA,1,PowerBI|MongoDB|Raspberry Pi,"{""PowerBI"": 3, ""MongoDB"": 1, ""Raspberry Pi"": 2}",Machine Learning|Cryptography,Cert_9,Programming|Open Source|Hackathons,AI/ML,None
U055,M.E,1,Kotlin|Cryptography|Networking|Statistics,"{""Kotlin"": 4, ""Cryptography"": 3, ""Networking"": 3, ""Statistics"": 3}",Computer Networks|Machine Learning,Cert_3,Programming|Competitive Programming,Mobile App Dev,Project_6
U056,B.Tech,1,PowerBI|React|Node.js,"{""PowerBI"": 1, ""React"": 1, ""Node.js"": 2}",Cryptography|Advanced Mathematics|Data Structures|Algorithms|Computer Networks,Cert_2,Open Source|Hackathons|Product Development,Web Development,None
U057,M.Sc,2,Kubernetes|Raspberry Pi|Terraform|JavaScript|NLP|CSS|Azure|Java,"{""Kubernetes"": 5, ""Raspberry Pi"": 2, ""Terraform"": 2, ""JavaScript"": 1, ""NLP"": 5, ""CSS"": 1, ""Azure"": 2, ""Java"": 1}",Cryptography|Artificial Intelligence|Data Science|Software Engineering,Cert_9,Programming,Web Development,None
U058,MCA,4,MongoDB|SQL|MQTT|Firebase|Tableau|Kubernetes|Raspberry Pi,"{""MongoDB"": 4, ""SQL"": 1, ""MQTT"": 4, ""Firebase"": 1, ""Tableau"": 2, ""Kubernetes"": 4, ""Raspberry Pi"": 4}",Data Science|Operating Systems,Cert_10,Competitive Programming|Product Development|Research,Mobile App Dev,Project_7
U059,B.Tech,3,Java|Django|JavaScript,"{""Java"": 2, ""Django"": 5, ""JavaScript"": 3}",Computer Networks|Artificial Intelligence,Cert_1,Hackathons,Cloud Computing,Project_17
U060,Diploma,1,Cryptography|Networking|React|Statistics,"{""Cryptography"": 3, ""Networking"": 2, ""React"": 1, ""Statistics"": 1}",Data Science|Software Engineering,Cert_5,Hackathons|Programming|Research,IoT,Project_17
